品类,型号,克重
卷帘,JLY01,240
卷帘,ZGJLY01,450
卷帘,JLY02,195
卷帘,ZGJLY02,420
卷帘,JLY03,190
卷帘,ZGJLY03,420
卷帘,JLY04,190
卷帘,ZGJLY04,420
卷帘,JLY05,120
卷帘,JLY06,215
卷帘,ZGJLY06,405
卷帘,JLY07,275
卷帘,ZGJLY07,485
卷帘,ZGJLY08,400
卷帘,ZGJLY09,320
卷帘,ZGJLY10,210
卷帘,JLY11,205
卷帘,ZGJLY11,350
卷帘,JLY12,170
卷帘,ZGJLY12,360
卷帘,ZGJLY13,330
卷帘,JLY14,190
卷帘,ZGJLY14,355
卷帘,JL60(5%开孔),520
卷帘,JL70(3%开孔),440
卷帘,JL80(1%开孔),410
卷帘,JL85(1%开孔),525
卷帘,JL85(3%开孔),437
卷帘,JL85(8%开孔),428
卷帘,JL90(全遮光),663
卷帘,JL75(全遮光),360
卷帘,JL65(全遮光),370
卷帘,JL66(半遮光),220
卷帘,JL81(全遮光),330
卷帘,FFUV05(5%开孔),579
卷帘,FFUV01(1%开孔),721
卷帘,FFUV03(3%开孔),556
卷帘,FFUV20(20%开孔),412
卷帘,FFTH1(1%开孔),467
卷帘,FFWC03(3%开孔),390
卷帘,FFZG00(0%遮光),570
卷帘,FFMY14(14%开孔),390
卷帘,FFMY04(4%开孔),440
斑马帘,BMY01,190
斑马帘,BMY02,137
斑马帘,BMY03,346
斑马帘,BMY04,220
斑马帘,BMY05,263
斑马帘,BMY06,173
斑马帘,BMY07,172
斑马帘,BMY08,157.5
斑马帘,BMY09,171
斑马帘,BMY10,171
斑马帘,BMY11,204
斑马帘,BMY12,177
斑马帘,BMY13,246
斑马帘,GDBM01,160
斑马帘,GDBM02,160
斑马帘,GDBM03,135
斑马帘,GDBM04,165
斑马帘,GDBM05,267
斑马帘,GDBM10,201
斑马帘,GDBM14,109
斑马帘,GDBM15,263
斑马帘,GDBM19,265
香格里拉帘,GDXG01,195
香格里拉帘,GDXG02,195
香格里拉帘,GDXG03,145
香格里拉帘,GDXG04,250
香格里拉帘,GDXG05,250
香格里拉帘,GDXG06,260
香格里拉帘,GDXG07,275
香格里拉帘,GDXG08,250
香格里拉帘,GDXG09,200
香格里拉帘,GDXG10,199
香格里拉帘,GDXG11,211
香格里拉帘,GDXG12,211
香格里拉帘,GDXG13,198
香格里拉帘,GDXG14,199
香格里拉帘,GDXG15,209
香格里拉帘,GDXG16,470
香格里拉帘,GDXG17,207
香格里拉帘,GDXG18,202
香格里拉帘,GDXG19,192
蜂巢帘,FC-全遮光,220
蜂巢帘,FC-半遮光,135
蜂巢帘,FC-透光纱网,80
升旗蜂巢帘,SQ-全遮光,220
升旗蜂巢帘,SQ-半遮光,135
升旗蜂巢帘,SQ-透光纱网,80
日夜蜂巢帘,RY-全遮光+纱网,300
日夜蜂巢帘,RY-半遮光+全遮光,355
罗马帘,LM01,125
罗马帘,LM02,170
罗马帘,LM03,160
罗马帘,LM04,150
罗马帘,LM05,260
罗马帘,LM06,210
罗马帘,LM07,130
罗马帘,LM08,165
罗马帘,LM09,200
罗马帘,LM10,135
罗马帘,LM11,220
罗马帘,LM12,255
罗马帘,LM13,420
罗马帘,LM14,410
罗马帘,LM15,130
开合帘,布帘,480
开合帘,纱帘,180
开合帘,亚麻,420
梦幻帘,玉马梦幻帘(标准),260
梦幻帘,玉马梦幻帘(全遮光),320
哈纳斯帘,玉马哈纳斯(透光),240
哈纳斯帘,玉马哈纳斯(PVC插片全遮光),550
